Sl No,Feature,User story,Acceptance Criteria,Sub Tasks,"FE Effort 
(in hours)","BE Effort 
(in hours)",Estimation Comments
7,Future-Ready Architecture (Phase 2 Enhancements),"As a vendor (Focaloid), I want the bot to have a scalable architecture, so that future integrations (like live chat and third-party API connections) are possible.","1. The system should allow easy integration with third-party HRMS and payroll systems in Phase 2.
2. The bot should be upgradeable to support live HR chat interactions.
3. The architecture should support API-based data retrieval in future phases.",,,8,
8,Server setup,"As a vendor (Focaloid), I want to set up the server for hosting the application, so that the application is securely deployed, scalable, and accessible to end-users.","1. The UAT server must be configured first.
2. If a clone of the UAT server is available, the production server should be configured using the clone.
3. If the clone server is not available on time, an additional effort of four days will be required for manual configuration of the production server.
4. Both UAT and production servers should be provided and validated for stability and performance.
5. The application should be accessible and functional after deployment on both servers.
6. Required dependencies should be installed, and the project setup should be completed.
7. Reverse Proxy (Nginx) should be configured to manage traffic efficiently",Installing dependencies,,16,"The current estimation for server setup accounts only for the UAT server configuration. If a clone server of the already configured UAT server is not provided on time, an additional effort of four days will be required to manually configure the production setup."
,,,,Setup and Configure the Project,,8,
,,,,Configure Reverse Proxy (Nginx),,8,
9,DB setup,"As a vendor (Focaloid), I want to set up a new database that is identical to the one used for investor or distributor services, so that we can reuse it for the HR bot.","1. The new database should replicate the structure of the investor/distributor services database.
2. Minor modifications may be required to accommodate HR bot-specific needs.
3. Ensure data integrity and consistency with existing services.",,,16,
10,Admin Panel Authentication,"As a vendor (Focaloid), I want to authenticate Axis admin users to the backend admin panel, so that can manage and edit menus and messages on the admin panel. ","1. Axis admin users should be able to log in using a valid username and password.
2. Implement authentication mechanisms to ensure secure access.
3. Provide role-based access control (RBAC) to restrict functionalities based on user roles.
4. Display appropriate error messages for invalid login attempts.",,16,16,Axis must provide API for login of HR admin or other users that are accessing admin panels just like ADLogin used in investor and distributor services
11,Project Setup,"As a vendor (Focaloid), I want to clone the existing investor services codebase, so that I can make the necessary minor modifications for the HR Bot project.","1. Clone the existing investor services codebase into a new repository.
2. Update configurations and dependencies as required for the HR Bot project.
3. Implement minor modifications specific to the HR Bot functionality.
4. Conduct initial testing to verify that the modified codebase runs without errors.",,16,16,
,,,,,44,192,
,,,,Total (FE+BE),236,,
,,,,Dev Testing,13.6,,
,,,,QA,50,,
,,,,,,,
,,,,,,,
,,,,,,,
